,time_value,geo_value,cc,value,sample_size
2905,2020-11-04,ca,4,91.6416664,12268.192
2956,2020-11-05,ca,4,91.4877856,11823.1852
3007,2020-11-06,ca,4,91.51962950000001,12174.1756
3058,2020-11-07,ca,4,91.2158151,10865.1192
3109,2020-11-08,ca,4,91.06727679999999,9520.1727
3160,2020-11-09,ca,4,91.53305870000001,9311.69
3211,2020-11-10,ca,4,91.9885943,10078.3797
3262,2020-11-11,ca,4,92.11934699999999,11679.5054
3313,2020-11-12,ca,4,92.2941146,13021.5152
3364,2020-11-13,ca,4,92.5465902,13489.4712
3415,2020-11-14,ca,4,92.7435678,15027.0478
3466,2020-11-15,ca,4,92.87760229999999,16727.9999
3517,2020-11-16,ca,4,92.8280727,17100.4826
3568,2020-11-17,ca,4,92.9777991,17109.9088
3619,2020-11-18,ca,4,93.21139409999999,17197.8522
3670,2020-11-19,ca,4,93.4991336,17466.8608
3721,2020-11-20,ca,4,93.3549056,17749.8734
3772,2020-11-21,ca,4,93.5459439,18120.3533
3823,2020-11-22,ca,4,93.6179494,18246.3734
3874,2020-11-23,ca,4,93.95649870000001,18474.3266
3925,2020-11-24,ca,4,94.0112355,18475.2683
3976,2020-11-25,ca,4,94.0986431,18664.2022
4027,2020-11-26,ca,4,93.9905054,18661.1867
4078,2020-11-27,ca,4,94.22636340000001,18540.2277
4129,2020-11-28,ca,4,94.2084373,18569.1711
4180,2020-11-29,ca,4,94.2859781,18751.1681
4231,2020-11-30,ca,4,94.2635317,19096.1682
4282,2020-12-01,ca,4,94.3471146,19856.1671
4333,2020-12-02,ca,4,94.35215,20458.1641
4384,2020-12-03,ca,4,94.42134770000001,21106.2504
4435,2020-12-04,ca,4,94.46686590000002,21623.2763
4486,2020-12-05,ca,4,94.5695948,21940.2763
4537,2020-12-06,ca,4,94.7379673,22243.2592
4588,2020-12-07,ca,4,94.7813795,22543.3312
5,2020-09-08,co,5,86.6268869,585.9987
50,2020-09-09,co,5,85.24727,1452.9675
101,2020-09-10,co,5,85.9750412,2333.9074
152,2020-09-11,co,5,86.2603235,3080.8775
203,2020-09-12,co,5,86.2722047,3833.8474
254,2020-09-13,co,5,86.4145022,4705.782999999999
305,2020-09-14,co,5,86.4403933,5540.7529
356,2020-09-15,co,5,86.38877149999999,5710.7541
407,2020-09-16,co,5,86.6331607,5575.7851
458,2020-09-17,co,5,86.277434,5394.7853
509,2020-09-18,co,5,86.28267199999999,5294.785
560,2020-09-19,co,5,86.38543659999999,5165.8135
611,2020-09-20,co,5,86.42600240000002,4952.8774
662,2020-09-21,co,5,86.399917,4766.9062
713,2020-09-22,co,5,85.94263559999999,4689.8466
764,2020-09-23,co,5,86.0889773,4695.8114
815,2020-09-24,co,5,86.5490424,4618.7774
